provider,region,instance_type,product_name,hourly_price_usd,gpu_type
Azure,brazilsouth,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,4.131,Other
Azure,westeurope,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.591196,A10
Azure,uksouth,Standard_NC80adis_H100_v5,Virtual Machines NCadsH100v5 Series Windows,21.13,H100
Azure,uksouth,Standard_NV8as_v4,Virtual Machines NVasv4 Series Windows,0.38,Other
Azure,polandcentral,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.118,A10
Azure,australiaeast,Standard_NC80adis_H100_v5,Virtual Machines NCadsH100v5 Series,4.048,H100
Azure,indonesiacentral,Standard_ND128isr_NDR_GB200_v6,Virtual Machines NDsrGB200NDRv6 Windows,132.428,GB200
Azure,northeurope,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,7.797,Other
Azure,mexicocentral,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,5.188,A10
Azure,malaysiawest,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,8.155,Other
Azure,southcentralus,Standard_ND40rs_v2,Virtual Machines NDrSv2 Series,4.885742,Other
Azure,usgovvirginia,Standard_NV32as_v4,Virtual Machines NVasv4 Series,0.430584,Other
Azure,centralus,Standard_NC8as_T4_v3,Virtual Machines NCasT4 v3 Series,0.849,Other
Azure,brazilsouth,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,8.056,A10
Azure,southafricanorth,Standard_NV48s_v3,Virtual Machines NVSv3 Series,5.841,Other
Azure,malaysiawest,Standard_NC80adis_H100_v5,Virtual Machines NCadsH100v5 Series,3.018338,H100
Azure,qatarcentral,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.37,A10
Azure,centralindia,Standard_NC12s_v3,Virtual Machines NCSv3 Series,1.694,Other
Azure,eastus2,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.995966,A10
Azure,francecentral,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.155786,A10
Azure,francecentral,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series,4.0,A10
Azure,usgovarizona,Standard_NV4as_v4,Virtual Machines NVasv4 Series Windows,0.475,Other
Azure,attdallas1,Standard_NV8as_v4,Virtual Machines NVasv4 Series,0.196,Other
Azure,koreacentral,Standard_NC16as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,2.217,Other
Azure,southcentralus,Standard_NM16ads_MA35D  ,Virtual Machines NMadsMA35D Series,0.468,Other
Azure,francecentral,Standard_NC24rs_v3,Virtual Machines NCSv3 Series,2.911154,Other
Azure,norwaywest,Standard_NV48s_v3,Virtual Machines NVSv3 Series,1.63,Other
Azure,southcentralus,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series,1.565,A10
Azure,centralus,Standard_NG16ads_V620_v1,Virtual Machines NGadsV620v1 Series,0.288288,Other
Azure,southcentralus,Standard_NC80adis_H100_v5,Virtual Machines NCadsH100v5 Series,16.76,H100
Azure,jioindiawest,Standard_NC24ads_A100_v4,NCads A100 v4 Series Linux,5.142,A100
Azure,usgovarizona,Standard_NV48s_v3,Virtual Machines NVSv3 Series,1.05336,Other
Azure,swedencentral,Standard_NG8ads_V620_v1,Virtual Machines NGadsV620v1 Series,0.826,Other
Azure,southcentralus,Standard_ND96is_H100_v5,Virtual Machines NDsr H100 v5 Series,21.234,H100
Azure,northeurope,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.502615,Other
Azure,eastasia,Standard_NC6s_v3,Virtual Machines NCSv3 Series Windows,5.019,Other
Azure,southeastasia,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series,1.175,A10
Azure,southcentralus,Standard_NV48s_v3,Virtual Machines NVSv3 Series Windows,7.68,Other
Azure,spaincentral,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series Windows,7.532,A10
Azure,usgovvirginia,Standard_NC6s_v3,Virtual Machines NCSv3 Series,0.734,Other
Azure,germanywestcentral,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,2.937735,Other
Azure,norwayeast,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series Windows,125.68,H200
Azure,northeurope,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,2.198,A10
Azure,attdallas1,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series,0.343,Other
Azure,southcentralus,Standard_NM16ads_MA35D  ,Virtual Machines NMadsMA35D Series Windows,0.568445,Other
Azure,centralindia,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,1.227,A10
Azure,italynorth,Standard_ND96amsr_A100_v4,Virtual Machines NDamsr A100 v4 Series Windows,11.79828,A100
Azure,qatarcentral,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,1.246,A10
Azure,westus,Standard_NV4ads_V710_v5,Virtual Machines NVadsV710v5 Series,0.433,Other
Azure,westus,Standard_NV6_Promo,Virtual Machines NV Promo Series,0.744,Other
Azure,northeurope,Standard_NC24s_v3,Virtual Machines NCSv3 Series,2.644,Other
Azure,southcentralus,Standard_NP40s,Virtual Machines NP Series Windows,9.76,Other
Azure,southeastasia,Standard_NV8as_v4,Virtual Machines NVasv4 Series Windows,0.974,Other
Azure,japaneast,Standard_NV16as_v4,Virtual Machines NVasv4 Series Windows,0.385678,Other
Azure,southafricanorth,Standard_NV24s_v3,Virtual Machines NVSv3 Series,2.921,Other
Azure,jioindiawest,Standard_NC40ads_H100_v5,Virtual Machines NCadsH100v5 Series,9.772,H100
Azure,australiacentral2,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.1302,Other
Azure,southeastasia,Standard_NC16lds_xl_RTXPRO6000BSE_v6,Virtual Machines NCldsxlRTX6kv6 Windows,2.318,RTX PRO 6000
Azure,westus3,Standard_ND96amsr_A100_v4,Virtual Machines NDamsr A100 v4 Series Linux,6.554,A100
Azure,uksouth,Standard_NG16ads_V620_v1,Virtual Machines NGadsV620v1 Series,1.59,Other
Azure,canadacentral,Standard_NC12s_v3,Virtual Machines NCSv3 Series,1.244074,Other
Azure,indonesiacentral,Standard_ND128isr_NDR_GB200_v6,Virtual Machines NDsrGB200NDRv6 Series,126.54,GB200
Azure,israelcentral,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series,1.293,A10
Azure,japanwest,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series,131.44,H200
Azure,uksouth,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series Windows,7.306,A10
Azure,japaneast,Standard_NC48ads_A100_v4,NCads A100 v4 Series Windows,5.144,A100
Azure,westus,Standard_ND96amsr_A100_v4,Virtual Machines NDamsr A100 v4 Series Windows,12.22442,A100
Azure,northcentralus,Standard_ND96is_MI300X_v5,Virtual Machines NDMI300Xv5 Srs,57.6,MI300X
Azure,westeurope,Standard_ND96amsr_A100_v4,Virtual Machines NDamsr A100 v4 Series Linux,10.65012,A100
Azure,malaysiawest,Standard_NC16as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.6322,Other
Azure,switzerlandnorth,Standard_NC6s_v3,Virtual Machines NCSv3 Series,0.777084,Other
Azure,uaenorth,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.925,A10
Azure,canadacentral,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series,5.424,A10
Azure,northeurope,Standard_NC24ads_A100_v4,NCads A100 v4 Series Windows,2.205,A100
Azure,spaincentral,Standard_NV12ads_V710_v5,Virtual Machines NVadsV710v5 Series Windows,0.34225,Other
Azure,koreacentral,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,2.40613,Other
